ID_Prestamo_Unico;ID_Cliente;Fecha_Originacion;Monto_Prestamo_USD;Saldo_Actual_Prestamo_USD;Total_Pagado_Capital_USD;Monto_Mora_Sin_Cargos_USD;Cuotas_Mora;Dias_Mora_DPD;Estado_Orden;Fecha_Vencimiento_1ra_Cuota;Monto_1ra_Cuota_USD;FPD;Score_Crediticio_Usuario;Tipo_Producto_Vertical
17491721;1717607;15/03/2025;69.99;0.0;69.99;0.0;0;;CLOSED;29/03/2025;69.99;No;12.0;Farmacias
14395307;8720595;22/01/2025;20.0;0.0;20.0;0.0;0;;CLOSED;05/02/2025;6.67;No;271.0;Moda
16592333;2996021;28/02/2025;15.84;0.0;15.84;0.0;0;;CLOSED;14/03/2025;5.28;No;395.0;Moda
13141048;7105148;29/12/2024;25.0;0.0;25.0;0.0;0;;CLOSED;12/01/2025;8.33;No;458.0;Moda
12248566;4870818;22/12/2024;31.2;0.0;31.2;0.0;0;;CLOSED;05/01/2025;10.4;No;457.0;Deporte
18043785;1326892;22/03/2025;31.39;31.39;0.0;0.0;0;;IN_PROGRESS;05/04/2025;10.46;No;452.0;Moda
9717182;4430285;22/11/2024;16.32;0.0;16.32;0.0;0;;CLOSED;06/12/2024;5.44;No;431.0;Moda
14133014;1323631;17/01/2025;10.0;0.0;10.0;0.0;0;;CLOSED;31/01/2025;3.33;No;385.0;Hogar
11333922;3956124;14/12/2024;72.0;0.0;72.0;0.0;0;;CLOSED;28/12/2024;24.0;No;430.0;Hogar
16021466;3205314;18/02/2025;172.2;0.0;172.2;0.0;0;;CLOSED;04/03/2025;57.4;No;437.0;Deporte
10102637;8679565;28/11/2024;9.1;0.0;9.1;0.0;0;;CLOSED;12/12/2024;9.1;No;470.0;Farmacias
9662852;4747602;21/11/2024;103.84;0.0;103.84;0.0;0;;CLOSED;05/12/2024;34.62;No;400.0;Hogar
17973001;1233507;21/03/2025;16.8;16.8;0.0;0.0;0;;IN_PROGRESS;04/04/2025;5.6;No;524.0;Hogar
16489802;9413837;26/02/2025;9.6;0.0;9.6;0.0;0;;CLOSED;12/03/2025;9.6;No;497.0;Supermercados
8788177;2893086;04/11/2024;44.88;0.0;44.88;0.0;0;;CLOSED;18/11/2024;14.96;No;18.0;Servicios
12762621;1251823;24/12/2024;27.0;0.0;27.0;0.0;0;;CLOSED;07/01/2025;9.0;No;543.0;Moda
10248059;2505745;30/11/2024;10.0;0.0;10.0;0.0;0;;CLOSED;14/12/2024;3.33;No;19.0;Herramientas
9267101;3730052;14/11/2024;13.21;0.0;13.21;0.0;0;;CLOSED;28/11/2024;4.4;No;3.0;Hogar
8730489;5660501;03/11/2024;48.43;0.0;48.43;0.0;0;;CLOSED;17/11/2024;48.43;No;16.0;Supermercados
16206541;4137364;22/02/2025;44.0;14.67;29.33;0.0;0;;IN_PROGRESS;08/03/2025;14.67;No;410.0;Hogar
16013511;9680388;18/02/2025;22.14;0.0;22.13;0.0;0;;CLOSED;04/03/2025;22.14;No;378.0;Supermercados
13089266;7168352;29/12/2024;14.8;0.0;14.8;0.0;0;;CLOSED;12/01/2025;4.93;No;400.0;Moda
18262833;6883535;25/03/2025;16.48;16.48;0.0;0.0;0;;IN_PROGRESS;08/04/2025;16.48;No;526.0;Restaurantes
15762803;3067526;15/02/2025;15.84;0.0;15.84;0.0;0;;CLOSED;01/03/2025;15.84;No;415.0;Supermercados
15129744;3810644;04/02/2025;322.49;0.0;161.25;0.0;0;;CLOSED;18/02/2025;53.75;No;19.0;Hogar
9673184;8150613;21/11/2024;38.04;0.0;38.04;0.0;0;;CLOSED;05/12/2024;38.04;No;355.0;Supermercados
16812438;1601612;03/03/2025;14.73;0.0;14.73;0.0;0;;CLOSED;17/03/2025;14.73;No;365.0;Supermercados
10427067;7906736;01/12/2024;390.4;0.0;195.2;0.0;0;;CLOSED;15/12/2024;65.07;No;484.0;Tecnología
16804255;4359651;02/03/2025;37.31;0.0;37.31;0.0;0;;CLOSED;16/03/2025;37.31;No;11.0;Supermercados
15382498;4452998;08/02/2025;27.52;0.0;27.52;0.0;0;;CLOSED;22/02/2025;9.17;No;442.0;Moda
9123956;8526382;10/11/2024;225.6;0.0;225.6;0.0;0;;CLOSED;24/11/2024;75.2;No;399.0;Moda
17051974;3793744;07/03/2025;80.0;53.33;26.67;0.0;0;;IN_PROGRESS;21/03/2025;26.67;No;434.0;Hogar
16805341;6135259;02/03/2025;41.44;0.0;41.44;0.0;0;;CLOSED;16/03/2025;13.81;No;430.0;Hogar
8807760;1934542;04/11/2024;39.5;0.0;39.5;0.0;0;;CLOSED;18/11/2024;13.17;No;428.0;Salud
16759943;3920755;02/03/2025;29.52;0.0;29.51;0.0;0;;CLOSED;16/03/2025;29.52;No;455.0;Supermercados
11816641;4008076;18/12/2024;21.5;0.0;21.5;0.0;0;;CLOSED;01/01/2025;7.17;No;325.0;Moda
16346128;4987319;23/02/2025;46.8;15.6;31.2;0.0;0;;IN_PROGRESS;09/03/2025;15.6;No;480.0;Moda
13402977;2976367;31/12/2024;19.1;0.0;19.1;0.0;0;;CLOSED;14/01/2025;6.37;No;365.0;Moda
17968020;5189807;21/03/2025;53.85;53.85;0.0;0.0;0;;IN_PROGRESS;04/04/2025;53.85;No;420.0;Supermercados
14767326;3154244;29/01/2025;16.61;0.0;16.61;0.0;0;;CLOSED;12/02/2025;16.61;No;390.0;Farmacias
9180045;2296942;12/11/2024;12.0;0.0;12.0;0.0;0;;CLOSED;26/11/2024;4.0;No;487.0;Moda
18257589;6122958;25/03/2025;28.27;28.27;0.0;0.0;0;;IN_PROGRESS;08/04/2025;9.42;No;389.0;Herramientas
12428352;5129575;23/12/2024;10.08;0.0;10.08;0.0;0;;CLOSED;06/01/2025;3.36;No;346.0;Moda
15749310;2182688;15/02/2025;27.2;0.0;27.2;0.0;0;;CLOSED;01/03/2025;9.07;No;447.0;Moda
14310312;1957833;20/01/2025;52.0;0.0;52.0;0.0;0;;CLOSED;03/02/2025;17.33;No;386.0;Hogar
8915509;9172905;07/11/2024;10.4;0.0;10.4;0.0;0;;CLOSED;21/11/2024;3.47;No;402.0;Moda
16055629;5690711;19/02/2025;16.57;0.0;16.57;0.0;0;;CLOSED;05/03/2025;16.57;No;338.0;Farmacias
16121408;4847943;20/02/2025;44.34;0.0;44.34;0.0;0;;CLOSED;06/03/2025;44.34;No;441.0;Supermercados
16247942;2821929;22/02/2025;28.09;0.0;28.09;0.0;0;;CLOSED;08/03/2025;28.09;No;461.0;Supermercados
13628834;1733896;06/01/2025;12.82;12.82;0.0;12.82;3;71.0;DELAYED;20/01/2025;4.27;Yes;411.0;Hogar
17144861;9783867;08/03/2025;22.89;0.0;22.89;0.0;0;;CLOSED;22/03/2025;22.89;No;430.0;Supermercados
15299135;7983108;07/02/2025;20.39;0.0;20.39;0.0;0;;CLOSED;21/02/2025;6.8;No;391.0;Moda
18751880;7846089;31/03/2025;28.35;28.35;0.0;0.0;0;;IN_PROGRESS;14/04/2025;28.35;No;418.0;Supermercados
12696960;7167636;24/12/2024;21.0;0.0;21.0;0.0;0;;CLOSED;07/01/2025;7.0;No;435.0;Moda
16266234;7138808;22/02/2025;36.66;0.0;36.66;0.0;0;;CLOSED;08/03/2025;12.22;No;20.0;Moda
18050746;8472089;22/03/2025;21.02;21.02;0.0;0.0;0;;IN_PROGRESS;05/04/2025;21.02;No;423.0;Farmacias
18274755;9204676;25/03/2025;56.32;0.0;56.32;0.0;0;;CLOSED;08/04/2025;56.32;No;412.0;Supermercados
16160272;5913194;21/02/2025;10.76;0.0;10.76;0.0;0;;CLOSED;07/03/2025;10.76;No;11.0;Restaurantes
11726908;2861164;18/12/2024;47.69;0.0;47.69;0.0;0;;CLOSED;01/01/2025;15.9;No;310.0;Servicios
16152516;9459541;21/02/2025;110.97;0.0;110.97;0.0;0;;CLOSED;07/03/2025;36.99;No;471.0;Hogar
16649469;8187176;01/03/2025;16.31;5.44;10.88;0.0;0;;IN_PROGRESS;15/03/2025;5.44;No;289.0;Hogar
13192188;1220216;30/12/2024;20.98;0.0;20.98;0.0;0;;CLOSED;13/01/2025;6.99;No;460.0;Hogar
14086549;4709233;16/01/2025;20.64;0.0;20.63;0.0;0;;CLOSED;30/01/2025;20.64;No;467.0;Supermercados
10147214;6857159;29/11/2024;16.15;0.0;16.15;0.0;0;;CLOSED;13/12/2024;16.15;No;437.0;Salud
12798827;8649067;26/12/2024;19.5;0.0;19.5;0.0;0;;CLOSED;09/01/2025;6.5;No;496.0;Deporte
